factor_name,factor_family,factor_role,formula,lookback,normalization,expected_direction,realtime_available,uses_future_data,leakage_risk,used_by,research_status,oos_status,version,fit_scope,transform_scope
bollinger_bandwidth_20,volatility_structure,volatility_regime_factor,(upper-lower)/middle,20 bars,pct,higher_volatility,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
volatility_compression_duration,volatility_structure,volatility_regime_factor,consecutive bars ATR pct below rolling mean,200 bars,bars,higher_compression,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
volatility_change_rate_20,volatility_structure,volatility_regime_factor,atr_pct/atr_pct[-20]-1,20 bars,pct_change,higher_expansion,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
downside_volatility_80,volatility_structure,path_safety_factor,"std(min(ret,0),80)*sqrt(96)",80 bars,volatility,higher_risk,True,False,low,"R2,R4",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
jump_score_80,volatility_structure,path_safety_factor,"abs(ret)/median(abs(ret),80)",80 bars,ratio,higher_risk,True,False,low,"R2,R3,R4",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
volume_zscore_96,liquidity,path_safety_factor,(volume-mean96)/std96,96 bars,zscore,higher_liquidity,True,False,low,"R2,R5",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
dollar_volume_percentile_200,liquidity,path_safety_factor,rolling percentile of close*volume,200 bars,rolling_percentile,higher_liquidity,True,False,low,"R2,R5",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
high_low_spread_pct,liquidity,path_safety_factor,(high-low)/close,current completed 15m,pct,higher_risk,True,False,low,"R2,R5",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
missing_1m_count_in_15m,liquidity,path_safety_factor,15-minute_count,current completed 15m,count,higher_data_risk,True,False,low,"R1,R2",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
label_fwd_ret_15m,forward_label,research_label,future fwd_ret over 15 minutes from next executable 1m open,+15 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mfe_atr_15m,forward_label,research_label,future fwd_mfe_atr over 15 minutes from next executable 1m open,+15 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mae_atr_15m,forward_label,research_label,future fwd_mae_atr over 15 minutes from next executable 1m open,+15 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_ret_30m,forward_label,research_label,future fwd_ret over 30 minutes from next executable 1m open,+30 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mfe_atr_30m,forward_label,research_label,future fwd_mfe_atr over 30 minutes from next executable 1m open,+30 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mae_atr_30m,forward_label,research_label,future fwd_mae_atr over 30 minutes from next executable 1m open,+30 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_ret_60m,forward_label,research_label,future fwd_ret over 60 minutes from next executable 1m open,+60 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mfe_atr_60m,forward_label,research_label,future fwd_mfe_atr over 60 minutes from next executable 1m open,+60 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mae_atr_60m,forward_label,research_label,future fwd_mae_atr over 60 minutes from next executable 1m open,+60 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_ret_120m,forward_label,research_label,future fwd_ret over 120 minutes from next executable 1m open,+120 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mfe_atr_120m,forward_label,research_label,future fwd_mfe_atr over 120 minutes from next executable 1m open,+120 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mae_atr_120m,forward_label,research_label,future fwd_mae_atr over 120 minutes from next executable 1m open,+120 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_ret_240m,forward_label,research_label,future fwd_ret over 240 minutes from next executable 1m open,+240 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mfe_atr_240m,forward_label,research_label,future fwd_mfe_atr over 240 minutes from next executable 1m open,+240 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mae_atr_240m,forward_label,research_label,future fwd_mae_atr over 240 minutes from next executable 1m open,+240 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_ret_480m,forward_label,research_label,future fwd_ret over 480 minutes from next executable 1m open,+480 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mfe_atr_480m,forward_label,research_label,future fwd_mfe_atr over 480 minutes from next executable 1m open,+480 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
label_fwd_mae_atr_480m,forward_label,research_label,future fwd_mae_atr over 480 minutes from next executable 1m open,+480 minutes,label,not_a_feature,False,True,must_never_be_feature,"R2,R4,R5 labels only",label_frozen_before_r1,not_applicable,r1_v1,none,future_path_label
