factor,common,label,prototype,symbol_scope,quintile,event_count,label_mean
momentum_score_quantile,Existing R6 momentum family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,3,886,-0.0010706638239307976
momentum_score_quantile,Existing R6 momentum family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,4,885,-0.0010057699212273356
momentum_score_quantile,Existing R6 momentum family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,5,886,-0.0013643562934373603
momentum_score_quantile,Existing R6 momentum family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0058473962531938005
momentum_score_quantile,Existing R6 momentum family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0065323257195340255
momentum_score_quantile,Existing R6 momentum family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,3,886,0.008173153566649327
momentum_score_quantile,Existing R6 momentum family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,4,885,0.009010644807278024
momentum_score_quantile,Existing R6 momentum family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,5,886,0.015068365889147744
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.9988713318284425
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.9943502824858758
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.9875846501128668
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.9954802259887006
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.9864559819413092
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.9243792325056434
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.9717514124293786
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.9300225733634312
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.96045197740113
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.9492099322799097
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,1,886,0.6444695259593679
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,2,885,0.7016949152542373
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,3,886,0.6331828442437923
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,4,885,0.6926553672316385
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,5,886,0.6805869074492099
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.0
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.0
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.0
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.0
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.0
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.002257336343115124
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,1,886,-0.0008527213454659684
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,2,885,-0.0009694588549883541
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,3,886,-0.0010604764709741192
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,4,885,-0.0009892459980483641
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,5,886,-0.0011463407821551165
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,1,886,0.006314166225046454
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,2,885,0.007502751621611323
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,3,886,0.008078782252094994
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,4,885,0.008853858243622493
breakout_score_quantile,Existing R6 breakout conviction family score percentile.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,5,886,0.013883246222252062
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,1.0
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.9875706214689266
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,1.0
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.9932203389830508
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.981941309255079
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.963882618510158
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.9355932203389831
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.95372460496614
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.9265536723163842
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.9559819413092551
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,1,886,0.6783295711060948
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,2,885,0.6451977401129944
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,3,886,0.6862302483069977
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,4,885,0.6429378531073446
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,5,886,0.6997742663656885
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.0
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.0
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.0
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.0
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.0
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.002257336343115124
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,1,886,-0.0008113643967210004
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,2,885,-0.0009617001169597924
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,3,886,-0.001097209579255954
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,4,885,-0.001103552916247116
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,5,886,-0.001044536699987755
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,1,886,0.007406666775589177
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,2,885,0.007425856792158244
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,3,886,0.008198753992598042
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,4,885,0.008813550858615122
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,5,886,0.012787843863257643
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.9988713318284425
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.9943502824858758
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.9932279909706546
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,1.0
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.9762979683972912
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.9672686230248307
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.9367231638418079
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.9604966139954854
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.9288135593220339
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.9424379232505643
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,1,886,0.6557562076749436
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,2,885,0.6508474576271186
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,3,886,0.7054176072234764
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,4,885,0.6610169491525424
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,5,886,0.6794582392776524
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.0
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.0
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.0
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.0
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.0
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.002257336343115124
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,1,886,-0.00085185127089452
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,2,885,-0.0009781064940639164
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,3,886,-0.0009050600954908569
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,4,885,-0.0010168476630347198
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,5,886,-0.001266418841583645
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,1,886,0.00569247554660469
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,2,885,0.006714091490050656
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,3,886,0.008485846539178953
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,4,885,0.009454901237024098
range_atr,Signal-bar range expansion: current 15m range normalized by ATR.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,5,886,0.01428527799427665
body_ratio,Candle conviction: real body share of the full candle range.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.9830699774266366
body_ratio,Candle conviction: real body share of the full candle range.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.9988700564971752
body_ratio,Candle conviction: real body share of the full candle range.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.9943566591422122
body_ratio,Candle conviction: real body share of the full candle range.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,1.0
body_ratio,Candle conviction: real body share of the full candle range.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.9864559819413092
body_ratio,Candle conviction: real body share of the full candle range.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.8645598194130926
body_ratio,Candle conviction: real body share of the full candle range.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.9536723163841808
body_ratio,Candle conviction: real body share of the full candle range.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.9751693002257337
body_ratio,Candle conviction: real body share of the full candle range.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.9785310734463277
body_ratio,Candle conviction: real body share of the full candle range.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.963882618510158
body_ratio,Candle conviction: real body share of the full candle range.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,1,886,0.590293453724605
body_ratio,Candle conviction: real body share of the full candle range.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,2,885,0.6677966101694915
body_ratio,Candle conviction: real body share of the full candle range.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,3,886,0.718961625282167
body_ratio,Candle conviction: real body share of the full candle range.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,4,885,0.6813559322033899
body_ratio,Candle conviction: real body share of the full candle range.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,5,886,0.6941309255079007
body_ratio,Candle conviction: real body share of the full candle range.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0
body_ratio,Candle conviction: real body share of the full candle range.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0
body_ratio,Candle conviction: real body share of the full candle range.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.0
body_ratio,Candle conviction: real body share of the full candle range.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.0
body_ratio,Candle conviction: real body share of the full candle range.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.0
body_ratio,Candle conviction: real body share of the full candle range.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0
body_ratio,Candle conviction: real body share of the full candle range.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0
body_ratio,Candle conviction: real body share of the full candle range.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.0
body_ratio,Candle conviction: real body share of the full candle range.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.0
body_ratio,Candle conviction: real body share of the full candle range.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.002257336343115124
body_ratio,Candle conviction: real body share of the full candle range.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,1,886,-0.0013899290394210828
body_ratio,Candle conviction: real body share of the full candle range.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,2,885,-0.0011298154862058132
body_ratio,Candle conviction: real body share of the full candle range.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,3,886,-0.0007917176825871957
body_ratio,Candle conviction: real body share of the full candle range.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,4,885,-0.0007916197825733354
body_ratio,Candle conviction: real body share of the full candle range.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,5,886,-0.0009151193958509766
body_ratio,Candle conviction: real body share of the full candle range.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,1,886,0.010251622951784395
body_ratio,Candle conviction: real body share of the full candle range.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,2,885,0.00914624328483849
body_ratio,Candle conviction: real body share of the full candle range.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,3,886,0.008246480661600417
body_ratio,Candle conviction: real body share of the full candle range.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,4,885,0.00894246466014731
body_ratio,Candle conviction: real body share of the full candle range.,mfe_pct,P4_BREAKOUT_TOP20,all_symbols,5,886,0.008047947970229343
close_location,Close strength: close location within the 15m high-low range.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.9887133182844243
close_location,Close strength: close location within the 15m high-low range.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,1.0
close_location,Close strength: close location within the 15m high-low range.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.9943566591422122
close_location,Close strength: close location within the 15m high-low range.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.9977401129943503
close_location,Close strength: close location within the 15m high-low range.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.981941309255079
close_location,Close strength: close location within the 15m high-low range.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.9446952595936795
close_location,Close strength: close location within the 15m high-low range.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.9559322033898305
close_location,Close strength: close location within the 15m high-low range.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.95372460496614
close_location,Close strength: close location within the 15m high-low range.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.9446327683615819
close_location,Close strength: close location within the 15m high-low range.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.9367945823927766
close_location,Close strength: close location within the 15m high-low range.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,1,886,0.6851015801354402
close_location,Close strength: close location within the 15m high-low range.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,2,885,0.703954802259887
close_location,Close strength: close location within the 15m high-low range.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,3,886,0.6534988713318285
close_location,Close strength: close location within the 15m high-low range.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,4,885,0.6700564971751413
close_location,Close strength: close location within the 15m high-low range.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,5,886,0.6399548532731377
close_location,Close strength: close location within the 15m high-low range.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0
close_location,Close strength: close location within the 15m high-low range.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0
close_location,Close strength: close location within the 15m high-low range.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.0
close_location,Close strength: close location within the 15m high-low range.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.0
close_location,Close strength: close location within the 15m high-low range.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.0
