trade_id,max_margin_usage,min_margin_ratio
FRC1_BTCUSDT_2025-01-28 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-28 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-30 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-01-31 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-03 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-04 08:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-06 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-09 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-10 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-13 00:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-14 08:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-17 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-18 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-20 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-22 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-24 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-25 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-26 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-02-27 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-03 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-05 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-06 08:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-08 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-09 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-11 16:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-12 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-14 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-17 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-19 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-21 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-22 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-24 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-27 08:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-28 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-03-31 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-03 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-05 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-06 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-07 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-09 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-09 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-10 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-12 08:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-14 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-15 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-16 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-17 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-18 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-19 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-21 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-22 00:00:00.008000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-04-24 08:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-01 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-08 16:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-11 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-13 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-15 08:00:00.003000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-16 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-18 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-20 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-21 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-23 00:00:00.006000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-24 16:00:00.003000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-26 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-28 16:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-29 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-05-30 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-02 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-05 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-08 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-10 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-12 08:00:00.003000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-15 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-16 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-17 08:00:00.006000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-18 16:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-20 08:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-21 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-22 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-28 08:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-06-29 08:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-03 16:00:00.003000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-10 00:00:00.003000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-11 00:00:00.004000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-13 00:00:00.006000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-15 00:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-17 00:00:00.003000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-19 00:00:00.009000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-21 00:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-23 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-25 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-27 00:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-29 00:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-07-31 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-01 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-03 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-05 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-07 08:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-08 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-10 16:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-12 16:00:00.005000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-14 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-15 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-16 00:00:00.004000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-18 16:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-21 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-23 08:00:00.006000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-25 08:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-26 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-27 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-28 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-30 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-08-31 16:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-02 16:00:00.007000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-03 08:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-04 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-06 08:00:00.005000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-07 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-09 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-12 00:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-12 16:00:00.005000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-14 00:00:00.006000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-15 00:00:00.006000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-16 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-18 08:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-19 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-22 00:00:00.005000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-23 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-25 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-26 16:00:00.008000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-27 16:00:00.003000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-28 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-09-30 08:00:00.005000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-01 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-03 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-05 16:00:00.009000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-07 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-08 08:00:00.006000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-09 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-11 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-22 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-25 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-25 16:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-26 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-29 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-10-31 08:00:00.008000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-02 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-04 08:00:00.004000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-06 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-09 16:00:00.005000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-11 16:00:00.009000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-12 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-13 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-15 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-17 08:00:00.003000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-19 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-20 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-22 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-24 16:00:00.006000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-26 08:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-28 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-11-30 00:00:00.003000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-04 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-07 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-08 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-09 08:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-11 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-13 08:00:00.006000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-16 00:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-17 00:00:00.004000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-18 16:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-20 16:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-22 16:00:00.009000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-23 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-24 00:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-26 08:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-27 16:00:00.011000+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-28 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2025-12-30 16:00:00.003000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-01 00:00:00.008000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-02 00:00:00.006000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-03 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-05 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-07 00:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-08 00:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-09 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-10 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-13 08:00:00.009000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-16 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-18 08:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-20 00:00:00.005000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-22 00:00:00.010000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-23 16:00:00.011000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-24 08:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-25 08:00:00.011000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-26 16:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-29 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-31 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2026-01-31 16:00:00.009000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-02-05 00:00:00.011000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-02-13 00:00:00.007000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-02-17 00:00:00.008000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-02-17 16:00:00.002000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-02-20 00:00:00+00:00,0.15,0.18
FRC1_BTCUSDT_2026-02-23 00:00:00.001000+00:00,0.15,0.18
FRC1_BTCUSDT_2026-02-24 00:00:00.007000+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-01 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-03 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-05 00:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-07 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-09 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-11 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-13 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-15 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-17 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-19 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-21 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-23 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-25 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-26 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-28 00:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2024-12-30 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-01 00:00:00.015000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-03 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-05 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-07 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-09 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-11 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-13 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-14 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-16 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-18 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-20 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-22 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-24 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-26 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-28 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-01-30 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-01 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-02 00:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-05 08:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-08 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-09 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-10 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-12 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-12 16:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-14 08:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-16 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-17 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-18 16:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-20 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-21 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-23 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-24 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-26 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-02-27 00:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-02 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-05 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-07 16:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-08 16:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-11 16:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-14 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-15 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-17 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-18 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-19 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-21 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-23 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-24 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-25 00:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-27 08:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-03-28 00:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-03 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-04 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-05 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-06 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-10 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-13 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-17 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-19 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-21 08:00:00.005000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-22 16:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-25 00:00:00.007000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-27 00:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-04-29 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-01 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-04 00:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-06 00:00:00.002000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-07 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-08 08:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-10 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-12 00:00:00.004000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-14 00:00:00.007000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-16 00:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-18 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-19 08:00:00.006000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-21 08:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-22 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-24 00:00:00.010000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-25 00:00:00.004000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-25 16:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-26 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-28 08:00:00.003000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-30 08:00:00.003000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-05-31 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-01 00:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-02 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-03 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-05 08:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-07 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-09 16:00:00.001000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-11 16:00:00.010000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-15 08:00:00.009000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-17 08:00:00.006000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-19 00:00:00.005000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-21 16:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-26 08:00:00.006000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-27 16:00:00.009000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-29 00:00:00.004000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-06-30 00:00:00+00:00,0.15,0.18
FRC1_ETHUSDT_2025-07-01 00:00:00.007000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-07-02 16:00:00.003000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-07-04 08:00:00.003000+00:00,0.15,0.18
FRC1_ETHUSDT_2025-07-05 16:00:00.006000+00:00,0.15,0.18
